id,nameKo,nameEn,categoryTags,stageTags,description,icon,isActive
incline_dumbbell_curl,인클라인 덤벨 컬,Incline Dumbbell Curl,biceps,main,,BI,true
indoor_bike,실내 자전거,Indoor Bike,cardio,warmup,,CA,true
joint_mobility,관절 가동성,Joint Mobility,mobility,warmup|cooldown,,MO,true
lat_pulldown,랫풀다운,Lat Pulldown,back,main,,BK,true
leg_extension,레그 익스텐션,Leg Extension,legs,main,,LG,true
leg_press,레그 프레스,Leg Press,legs,main,,LG,true
lunge,런지,Lunge,bodyweight,warmup,,LG,true
lying_leg_curl,라잉 레그 컬,Lying Leg Curl,legs,main,엎드려 다리를 당겨 허벅지 뒤쪽(햄스트링) 근육을 완벽하게 고립하고 발달시키는 대표적인 하체 고립 운동입니다.,LG,true
lying_triceps_extension,라잉 트라이셉스 익스텐션,Lying Triceps Extension,triceps,main,누운 자세에서 이마 방향으로 바벨을 내렸다 올리며 상완삼두근 장두의 거대한 볼륨을 만들어내는 대표적인 삼두 운동입니다.,TR,true
military_press,밀리터리 프레스,Military Press,shoulder|triceps,main,바벨을 서서 머리 위로 밀어 올려 코어와 어깨 근육 전체의 협응력을 기르는 전통적인 프레스 운동입니다.,SH,true
outdoor_running,야외 러닝,Outdoor Running,cardio,main,,CA,true
overhead_cable_extension,오버헤드 케이블 익스텐션,Overhead Cable Extension,triceps,main,,TR,true
overhead_triceps_extension,오버헤드 삼두 익스텐션,Overhead Triceps Extension,triceps,main,덤벨이나 케이블을 머리 뒤에서 위로 들어 올려 삼두근 장두 부위를 강력하게 스트레칭 및 수축하는 운동입니다.,TR,true
peck_deck_fly,펙덱 플라이,Pec Deck Fly,chest,main,머신을 이용해 가슴 근육의 수축과 이완을 안전하게 극대화하고 안쪽 가슴 라인을 강화하는 운동입니다.,CH,true
plank,플랭크,Plank,bodyweight,main|cooldown,몸을 일직선으로 곧게 펴고 버텨 복부 내 심부 코어 근육과 전신 협응력을 극대화시키는 정적 버티기 운동입니다.,BW,true
pull_up,풀업,Pull-up,back|bodyweight,main,,BK,true
push_up,푸시업,Push-up,bodyweight|chest|triceps,warmup,"준비운동, 맨손 가슴 운동, 마무리 운동으로 사용할 수 있습니다.",BW,true
romanian_deadlift,루마니안 데드리프트,Romanian Deadlift,legs,main,,LG,true
rope_pushdown,로프 푸시다운,Rope Pushdown,triceps,main,,TR,true
seated_cable_row,시티드 케이블 로우,Seated Cable Row,back,main,,BK,true
seated_leg_curl,시티드 레그 컬,Seated Leg Curl,legs,main,,LG,true
shoulder_press,숄더 프레스,Shoulder Press,shoulder,main,,SH,true
side_lateral_raise,사이드 레터럴 레이즈,Side Lateral Raise,shoulder,main,,SH,true
smith_bench_press,스미스 벤치프레스,Smith Bench Press,chest,main,,CH,true
smith_incline_bench_press,스미스 인클라인 벤치프레스,Smith Incline Bench Press,chest,main,,CH,true
stair_climber,천국의 계단,Stair Climber,cardio,main,"끝없는 계단을 오르는 모방 동작으로, 엄청난 칼로리 소모와 힙업 효과를 동시에 자아내는 지옥의 인기 유산소 기구입니다.",CA,true
standing_barbell_curl,스탠딩 바벨 컬,Standing Barbell Curl,biceps,main,,BI,true
stretching,스트레칭,Stretching,mobility,warmup,,MO,true
trapmill,트랩밀,Trapmill,cardio,warmup|main,,CA,true
treadmill,트레드밀,Treadmill,cardio,warmup|main,,CA,true
